,Profession,Position,Join Date,Renewal Date,user_ID,chapter_ID,sponsor_ID
938,"Trades, Renovations - Exterior",,01/06/2017,01/06/2019,2911,31,2905.0
939,"Trades, Plumber",,01/06/2017,01/07/2019,2337,31,1643.0
940,"Apparel, Sports Apparel",,01/06/2017,01/06/2018,2533,31,1729.0
941,"Health & Wellness, Health & Wellness Products",,01/06/2017,01/06/2018,557,31,1136.0
942,"Advertising & Marketing, Promotional Products","Ambassador, Member",01/08/2017,01/08/2021,1583,31,1561.0
943,"Employment Activities, Human Resources",Member,01/01/2017,01/01/2022,2522,31,2739.0
944,"Trades, Property Maintenance",,01/02/2018,01/02/2019,2294,31,1392.0
945,"Financial, Exempt Market Securities",,01/02/2018,01/02/2019,2902,31,2865.0
946,"Alternative Medicine, Naturopathic Doctor",,01/03/2018,01/03/2020,2392,31,557.0
947,"Construction, Electrician","Events Co-ordinator, Member",01/05/2018,01/05/2021,276,31,2838.0
948,"Real Estate, Residential",,01/05/2018,01/05/2019,706,31,2838.0
949,"Security & Investigation, Security Systems",Member,01/07/2018,01/01/2022,1609,31,2875.0
950,"Real estate services, Residential Real Estate Agent",Member,01/08/2018,01/08/2021,1591,31,1729.0
951,"Personal Services, Personal Services (Other)",Member,01/08/2018,01/08/2021,2327,31,1583.0
952,"Automotive, Automotive Sales and Service",,01/09/2018,01/09/2019,2456,31,2337.0
953,"Office, Plant Care",,01/10/2018,01/04/2020,1685,31,1729.0
954,"Information Technology, IT Professional Services",,01/10/2018,01/10/2019,1190,31,2370.0
955,"Finance & Insurance, Property & Casualty Insurance","Member, Chapter Webmaster",01/10/2018,01/10/2021,1182,31,2592.0
956,"Medical, Orthotist",,01/11/2018,01/11/2021,2261,31,1392.0
957,"Trades, Property Restoration",,01/11/2018,01/11/2019,1159,31,1583.0
958,"Trades, Roofing",,01/12/2018,01/12/2019,2370,31,
959,"Trades, Countertops",,01/12/2018,01/12/2019,2919,31,
960,"Insurance, Life,Health and Disability Insurance",,01/02/2019,01/02/2020,1667,31,2592.0
961,"Insurance, Life,Health and Disability Insurance",,01/02/2019,01/02/2020,917,31,1729.0
962,"Automotive, Automotive Sales and Service",,01/03/2019,01/03/2020,356,31,1159.0
963,"Real estate services, Commercial Cleaning",Member,01/03/2019,01/04/2022,2700,31,1729.0
964,"Insurance, Life,Health and Disability Insurance",Member,01/04/2019,01/04/2020,588,31,2261.0
965,"Trades, Fences, Decks",,01/04/2019,01/04/2020,1569,31,1583.0
966,"Advertising, Mobile Advertising",,01/04/2019,01/04/2020,2718,31,1583.0
967,"Telecommunications, Telecommunications Products/Services","President, Member",01/05/2019,01/11/2020,1133,31,2261.0
968,"Trades, General Contractor: Fire & Flood Restoration",,01/08/2019,01/08/2020,1310,31,
969,"Computer, Computer Software Sales & Training",,01/08/2019,01/08/2020,2756,31,2875.0
970,"Information Technology, IT Professional Services",,01/08/2019,01/08/2020,2038,31,2875.0
971,"Trades, Builder: Residential",,01/09/2019,01/09/2020,641,31,1392.0
972,"Training & Coaching, Life Coach","Vice President, Member",01/11/2019,01/11/2020,255,31,1569.0
973,"Car & Motorcycle, Auto/Car Detailing","Visitor Host, Member",01/12/2019,01/12/2021,515,31,2796.0
974,"Transportation, Shuttle Services",,01/02/2020,01/02/2021,10,31,2875.0
975,"Trades, Plumber",,01/02/2020,01/02/2021,1194,31,2592.0
976,"Trades, Plumber",Member,01/02/2020,01/02/2021,1629,31,255.0
977,"Construction, Plumbing",Member,01/03/2020,01/03/2021,1629,31,255.0
978,"Finance & Insurance, Property & Casualty Insurance",Member,01/05/2020,01/07/2021,2838,31,
979,"Legal & Accounting, Chartered Professional Accountant (CPA)","Secretary / Treasurer, Member",01/07/2020,01/07/2021,2814,31,1729.0
980,"Finance & Insurance, Life,Health and Disability Insurance",Member,01/08/2020,01/08/2021,588,31,2261.0
981,"Construction, Builder/General Contractor",Member,01/09/2020,01/09/2021,585,31,255.0
982,"Advertising & Marketing, Photographer",Member,01/09/2020,01/09/2021,1863,31,
983,"Real estate services, Commercial Cleaning",Member,01/11/2020,01/11/2021,1407,31,2796.0
984,"Car & Motorcycle, Tire Sales/Replacement",Member,01/02/2021,01/02/2022,2917,31,2838.0
985,"Health & Wellness, Health & Wellness Services",Member,01/02/2021,01/02/2022,326,31,2875.0
986,"Coach, Business Coach",,01/12/2010,01/10/2012,2662,25,
987,"Mortgage, Mortgage Broker",,01/12/2010,01/12/2011,550,25,
988,"Marketing, Promotional Products",,01/12/2010,01/12/2011,289,25,
989,"Financial, Financial Planner",,01/12/2010,01/12/2011,2311,25,
990,"Trades, Cabinets & Closets",Member,01/12/2010,01/11/2021,786,25,
991,"Real Estate, Real Estate Sales Representative Residential",,01/12/2010,01/12/2011,2093,25,
992,"Trades, Property Restoration",,01/12/2010,01/12/2011,906,25,
993,"Architectural, Architect",,01/12/2010,01/12/2011,730,25,
994,"Trades, General Contractor: Commercial",,01/12/2010,01/12/2011,1520,25,
995,"Accounting, Bookkeeper",,01/12/2010,01/07/2012,373,25,
996,"Medical, Chiropractor",,01/12/2010,01/01/2011,1180,25,
997,"Real Estate, Real Estate Sales Representative Commercial",,01/12/2010,01/12/2011,1594,25,
998,"Legal, Legal Services",,01/12/2010,01/12/2011,318,25,
999,"Real Estate, Real Estate Appraiser",,01/12/2010,01/12/2011,1595,25,
1000,"Gifts, Gift Baskets",,01/12/2010,01/05/2012,1349,25,
1001,"Appearance, Cosmetics, Skin Care",,01/12/2010,01/06/2018,955,25,
1002,"Insurance, Property & Casualty Insurance",,01/12/2010,01/12/2011,2054,25,
1003,"Unknown, BNIW_Null",,01/12/2010,01/12/2011,664,25,
1004,"Accounting, Professional Accountant",,01/12/2010,01/12/2011,1999,25,
1005,"Financial, Exempt Market Securities",,01/05/2011,01/05/2012,1666,25,
1006,"Trades, Painter",,16/12/2010,01/12/2011,180,25,2662.0
1007,"Glass, Glass: Sales & Service",,01/01/2011,01/01/2012,1570,25,664.0
1008,"Real Estate, Home Inspector",,01/01/2011,01/01/2012,2714,25,906.0
1009,"Trades, Renovations-Remodeling",,01/01/2011,01/01/2012,569,25,664.0
1010,"Window, Window Treatment",,01/02/2011,01/02/2015,2173,25,664.0
1011,"Appearance, Cosmetics, Skin Care",,01/02/2011,01/02/2012,502,25,955.0
1012,"Insurance, Life,Health and Disability Insurance",,01/06/2011,01/06/2012,2619,25,
1013,"Mortgage, Mortgage Broker",,01/03/2011,01/03/2013,311,25,
1014,"Signs, Sign Company",,01/03/2011,01/12/2012,2321,25,
1015,"Trades, Masonry & Stonework",,01/03/2011,01/03/2012,2591,25,
1016,"Information Technology, I.T. Specialist",,01/07/2011,01/07/2012,610,25,
1017,"Travel, Travel Agent/Consultant",,01/05/2011,01/05/2016,2226,25,
1018,"Financial, Investment Advisor",,01/06/2011,01/02/2017,581,25,786.0
1019,"Trades, Flooring Installations",,01/09/2011,01/09/2012,227,25,786.0
1020,"Computer, Computer Service",,13/05/2011,01/11/2011,214,25,
1021,"Alternative Medicine, Naturopathic Doctor",,01/06/2011,01/06/2012,1908,25,
1022,"Alternative Medicine, Naturopathic Doctor","Member, Chapter Webmaster",01/07/2011,01/07/2021,1092,25,2662.0
1023,"Insurance, General-Motor Insurance",,01/09/2011,01/09/2015,1358,25,1666.0
1024,"Trades, Painter",,15/09/2011,01/12/2012,2567,25,2662.0
1025,"Entertainment, Entertainment Shows",,01/09/2011,15/09/2011,2498,25,
1026,"Real Estate, Real Estate Sales Representative Residential",,01/10/2011,01/10/2015,1000,25,2226.0
1027,"Medical, Chiropractor",,07/12/2011,01/06/2015,834,25,
1028,"Automotive, Automotive Detailing",,01/12/2011,01/06/2016,247,25,
1029,"Trades, Flooring Installations",,02/02/2012,01/09/2015,797,25,786.0
1030,"Accounting, Bookkeeper",,01/05/2012,01/05/2013,1333,25,786.0
1031,"Gifts, Gift Baskets",,01/05/2012,01/05/2015,1883,25,2567.0
1032,"Appearance, Hair Stylist",,01/06/2012,01/06/2013,2490,25,1345.0
1033,"Legal, Lawyer Litigation","Mentoring Coordinator, Member",01/06/2012,01/06/2021,423,25,1000.0
1034,"Health & Wellness, Fitness Trainer",,01/06/2012,01/06/2013,695,25,1345.0
1035,"Unknown, BNIW_Null",,01/06/2012,01/06/2013,1505,25,955.0
1036,"Finance & Insurance, Life,Health and Disability Insurance",Member,25/06/2012,01/07/2021,2221,25,1345.0
1037,"Business, Business Advisor",,01/08/2012,01/08/2014,464,25,2321.0
1038,"Trades, Painter",,01/08/2012,01/08/2013,642,25,797.0
1039,"Mortgage, Mortgage Agent",,01/08/2012,01/08/2013,1085,25,1000.0
1040,"Landscaping, Lawn Care",,01/09/2012,01/09/2017,1630,25,
1041,"Automotive, Automotive Repair",,01/09/2012,01/10/2014,2269,25,786.0
1042,"Information Technology, Internet Marketing",,01/09/2012,01/09/2013,2087,25,2173.0
1043,"Computer, Computer Software Development",,01/10/2012,01/10/2018,1607,25,2221.0
1044,"Cleaning, Commercial Cleaning",,01/11/2012,01/11/2017,2185,25,1630.0
1045,"Moving & Storage, Moving & Storage",,01/11/2012,01/11/2013,1926,25,1000.0
1046,"Accounting, Bookkeeper",,01/11/2012,01/04/2014,2755,25,955.0
1047,"Real Estate, Real Estate Investments",,01/11/2012,01/11/2014,2276,25,1345.0
1048,"Coach, Business Coach",,01/11/2012,01/11/2018,570,25,2269.0
1049,"Moving & Storage, Moving Service Help",,01/12/2012,01/12/2014,1796,25,2221.0
1050,"Photography, Photographer",,01/12/2012,01/12/2013,1119,25,2221.0
1051,"Automotive, Automotive Sales & Leasing",,01/12/2012,01/12/2013,2632,25,2269.0
1052,"Unknown, BNIW_Null",,01/01/2013,01/01/2014,267,25,
1053,"Trades, Commercial Painter",,01/02/2013,01/02/2014,703,25,
1054,"Trades, General Contractor Residential",,01/02/2013,01/02/2015,1157,25,2173.0
1055,"Barter Exchange, Barter Exchange",,01/02/2013,01/02/2014,712,25,
1056,"Trades, Renovations-Remodeling",,01/02/2013,01/02/2018,2274,25,
1057,"Trades, Custom Decks",,01/02/2013,01/02/2014,1871,25,2755.0
1058,"Security, Security Services",,01/03/2013,01/03/2020,840,25,2269.0
1059,"Coach, Sales Coach",,01/03/2013,01/08/2017,2182,25,2221.0
1060,"Office, Office Equipment",,01/03/2013,01/03/2014,1026,25,
1061,"Marketing, Digital Marketing",,01/03/2014,01/11/2018,1385,25,
1062,"Food/Beverages, Caterer",,01/03/2013,01/03/2014,2696,25,
1063,"Trades, Painter",,01/03/2013,01/03/2016,2454,25,
1064,"Deliveries, Delivery, Courier Service",,01/04/2013,01/04/2014,335,25,
1065,"Accounting, Accountant",,01/05/2013,01/05/2014,1196,25,
1066,"Marketing, Promotional Products",,01/05/2013,01/05/2015,2219,25,
1067,"Trades, Roofing",,01/06/2013,01/12/2016,1969,25,
1068,"Information Technology, Web Development",,01/06/2013,01/06/2015,2235,25,
1069,"Signs, Sign Company",,01/06/2013,01/06/2015,2909,25,786.0
1070,"Marketing, Marketing Services",,01/06/2013,01/06/2014,2610,25,1883.0
1071,"Telecommunications, Telecommunications Systems",,01/06/2013,01/06/2014,2423,25,
1072,"Media, Video Productions",,01/07/2013,01/07/2014,2665,25,2269.0
1073,"Unknown, BNIW_Null",,01/07/2013,01/07/2014,218,25,2276.0
1074,"Unknown, BNIW_Null",,01/07/2013,01/07/2014,1755,25,2454.0
1075,"Real Estate, Commercial Real Estate Brokerage",,01/07/2013,01/07/2014,2519,25,2221.0
1076,"Trades, Cabinets: Kitchen and Bathroom",,01/07/2013,01/07/2014,2528,25,570.0
1077,"Coach, Life Coach",,01/08/2013,01/11/2015,2897,25,2269.0
1078,"Finance & Insurance, Residential Mortgages","Membership Committee, Member",01/09/2013,01/09/2021,2623,25,1630.0
1079,"Alternative Medicine, Acupuncture",,01/09/2013,01/09/2014,2554,25,2221.0
1080,"Information Technology, Specialized Internet Searches",,01/11/2013,01/11/2014,1852,25,570.0
1081,"Health & Wellness, Fitness Trainer",,01/11/2013,01/11/2014,2737,25,570.0
1082,"Medical, Dental Hygienist",,01/11/2013,01/11/2016,65,25,2221.0
1083,"Accounting, Personal Tax Accounting",,01/11/2013,01/11/2014,1423,25,2276.0
1084,"Legal, Lawyer Real Estate",,01/12/2013,01/12/2016,237,25,423.0
1085,"Photography, Photographer",,01/01/2014,01/01/2015,1007,25,1796.0
1086,"Trades, Electrical Contractor",,01/01/2014,01/01/2017,117,25,2274.0
1087,"Trades, Plumber",,01/02/2014,01/02/2016,1376,25,566.0
1088,"Automotive, Automotive Body Shop",,01/02/2014,01/02/2015,2179,25,2219.0
1089,"Retail, Lighting",,01/03/2014,01/03/2019,2795,25,1157.0
1090,"Accounting, Bookkeeper",,01/03/2014,01/03/2017,2722,25,2897.0
1091,"Interior, Interior Design Residential",,01/04/2014,01/04/2015,1945,25,
1092,"Coach, Career Transition Coach",,01/05/2014,01/05/2015,1401,25,2219.0
1093,"Accounting, Professional Accountant",,01/07/2014,01/07/2016,2825,25,
1094,"Trades, Exterior: Siding/Windows/Doors",,01/07/2014,01/07/2015,1025,25,2235.0
1095,"Cleaning, Window Cleaning",,01/07/2014,01/07/2015,2136,25,581.0
1096,"Real Estate, Real Estate Investments",,31/07/2014,01/11/2014,2946,25,1345.0
1097,"Real Estate, Property Management",,01/09/2014,01/09/2015,138,25,2897.0
1098,"Financial, Business Financing",,01/11/2014,01/11/2017,1412,25,2221.0
1099,"Associations, Non-Profit Organization",,01/11/2014,01/11/2015,1600,25,
1100,"Photography, Photographer",,01/11/2014,01/11/2015,459,25,570.0
1101,"Printing, Printing Services",,01/11/2014,01/11/2015,819,25,2182.0
1102,"Trades, Heating/Air Conditioning/Fireplaces",,01/02/2015,01/02/2016,501,25,1630.0
1103,"Employment, Employment Services",,01/03/2015,01/03/2016,1334,25,2182.0
1104,"Consulting, Health and Safety Consultant",,01/04/2015,01/04/2016,2374,25,2274.0
1105,"Employment, Employment Services",,16/04/2015,01/03/2016,2710,25,
1106,"Employment, Employment Services",,16/04/2015,01/03/2016,2710,25,2182.0
1107,"Medical, Chiropractor",,01/06/2015,01/06/2016,200,25,834.0
1108,"Photography, Photographer",,01/06/2015,01/06/2016,1567,25,2182.0
1109,"Window, Window Treatment",,01/07/2015,01/07/2016,745,25,
1110,"Food/Beverages, Home Delivery: Food & Meat",,01/08/2015,01/02/2017,2059,25,2221.0
1111,"Health & Wellness, Personal Trainer - Fitness","Ambassador, Visitor Host, Member",01/11/2015,01/05/2021,2670,25,
1112,"Food/Beverages, Coffee Specialties",,01/11/2015,01/11/2016,1906,25,
1113,"Information Technology, Web Design",,01/11/2015,01/11/2016,758,25,2795.0
1114,"Trades, General Contractor",,01/11/2015,01/11/2016,907,25,570.0
1115,"Window, Window Blinds",,01/12/2015,01/12/2017,599,25,570.0
1116,"Insurance, General-Motor Insurance",,01/12/2015,01/05/2017,645,25,
1117,"Real Estate, Real Estate Sales Representative Residential",,01/12/2015,01/05/2018,2547,25,
1118,"Trades, Flooring and Carpets",,01/12/2015,01/12/2016,232,25,2795.0
1119,"Trades, Electrician",,01/02/2016,01/02/2018,250,25,2795.0
1120,"Trades, Plumber",,01/03/2016,01/03/2017,698,25,2547.0
1121,"Flowers, Florist",,01/03/2016,01/09/2019,2766,25,645.0
1122,"Medical, Chiropractor",,01/04/2016,01/10/2018,768,25,
1123,"Printing, Printer",Member,01/05/2016,01/05/2021,886,25,2182.0
1124,"Event Planning, Event Planner",,01/05/2016,01/05/2017,1712,25,
1125,"Trades, Heating & A/C",,01/06/2016,01/06/2018,1869,25,570.0
1126,"Accounting, Accountant",,01/07/2016,01/07/2018,219,25,2182.0
1127,"Trades, Plumber",,01/08/2016,01/08/2017,981,25,
1128,"Accounting, Bookkeeper",,01/11/2016,01/11/2019,2549,25,219.0
1129,"Real Estate, General Contractor",,01/11/2016,01/11/2017,18,25,1869.0
1130,"Trades, Painter",,01/11/2016,01/11/2017,532,25,786.0
1131,"Trades, Painter",,01/11/2016,01/11/2017,532,25,
1132,"Event Planning, Event Planner",,01/11/2016,01/11/2017,1712,25,
1133,"Photography, Photographer",,01/12/2016,01/12/2017,143,25,2670.0
1134,"Animals, Pet Services",,01/02/2017,01/02/2018,1700,25,768.0
1135,"Financial, Financial Advisor",,01/02/2017,01/02/2017,2326,25,637.0
1136,"Financial, Investment Advisor",,01/12/2016,01/04/2019,127,25,423.0
1137,"Financial, Equipment leasing",,01/03/2017,01/03/2020,1042,25,2766.0
1138,"Insurance, Commercial Insurance Broker",,01/06/2017,01/06/2018,2853,25,1412.0
1139,"Cleaning, Commercial Cleaning",,01/05/2017,01/05/2018,1648,25,2221.0
1140,"Finance & Insurance, Property & Casualty Insurance","Vice President, Member",01/05/2017,01/05/2022,2076,25,1412.0
1141,"Landscaping, Lawn Care",,01/06/2017,01/06/2018,1958,25,955.0
1142,"Advertising & Marketing, Graphic Designer","Events Co-ordinator, Member, Chapter Webmaster",01/06/2017,01/06/2021,2322,25,570.0
1143,"Legal, Lawyer Real Estate","President, Member",01/07/2017,01/02/2021,540,25,
1144,"Health & Wellness, Massage Therapist",,01/08/2017,01/08/2018,1676,25,570.0
1145,"Real Estate, Real Estate Sales Representative Commercial",,01/10/2017,01/10/2020,728,25,540.0
1146,"Insurance, Business Insurance",,01/10/2017,01/10/2018,1663,25,2076.0
1147,"Legal, Lawyer: Wills & Estates",,01/11/2017,01/11/2018,401,25,2670.0
1148,"Travel, Travel Agent","Visitor Host, Member",01/11/2017,01/08/2021,1021,25,2076.0
1149,"Signs, Sign Company",,01/01/2018,01/01/2021,2662,25,786.0
1150,"Trades, Electrical Contractor",,01/02/2018,01/02/2020,1134,25,2623.0
1151,"Trades, General Contractor Residential",,01/02/2018,01/02/2019,944,25,1869.0
1152,"Real Estate, Real Estate Sales Representative Residential",,01/03/2018,01/03/2021,1547,25,2795.0
1153,"Accounting, Chartered Professional Accountant (CPA)",,01/03/2018,01/03/2020,622,25,2076.0
1154,"Trades, Handyman",,01/03/2018,01/03/2019,2944,25,
1155,"Real estate services, Cleaning Service",Member,01/04/2018,01/04/2021,1418,25,2549.0
1156,"Marketing, Marketing Strategy",,01/04/2018,01/04/2019,771,25,2623.0
1157,"Information Technology, IT Professional Services","Membership Committee, Member",01/07/2018,01/07/2021,284,25,1607.0
1158,"Real estate services, Home Inspection","Visitor Host, Member",01/09/2018,01/09/2021,2601,25,786.0
1159,"Health & Wellness, Massage Therapist",Member,01/10/2018,01/01/2022,1664,25,
1160,"Medical, Chiropractor",,01/10/2018,01/10/2019,2119,25,840.0
1161,"Car & Motorcycle, Auto/Car Body & Paint Shop",Member,01/10/2018,01/10/2021,823,25,2549.0
1162,"Alternative Medicine, Nutritionist",,01/10/2018,01/10/2019,1876,25,2670.0
1163,"Financial, Investment Advisor",,01/10/2018,01/10/2019,2318,25,2322.0
1164,"Media, Social Media",,01/11/2018,01/11/2019,69,25,2623.0
1165,"Medical, Chiropractor",,01/02/2019,01/02/2021,2811,25,2322.0
1166,"Automotive, Automotive Mechanical Service",,01/01/2019,01/05/2021,6,25,
1167,"Consulting, Business Coach",,01/04/2019,01/04/2020,1769,25,6.0
1168,"Construction, Commercial Builder/General Contractor",Member,01/04/2019,01/10/2022,2445,25,2623.0
1169,"Information Technology, Web Design",,01/06/2019,01/06/2021,2317,25,
1170,"Coach, Life Coach",,01/06/2019,01/01/2021,480,25,
1171,"Health & Wellness, Nutritional Supplements",,01/06/2019,01/06/2020,183,25,6.0
1172,"Legal, Corporate Law",,01/07/2019,01/07/2020,1756,25,2623.0
1173,"Marketing, Digital Marketing",,01/07/2019,01/07/2021,25,25,
1174,"Construction, Windows & Doors",Member,01/07/2019,01/07/2021,2929,25,1547.0
1175,"Security, Security Systems",,01/10/2019,01/03/2021,1375,25,
1176,"Accounting, Chartered Professional Accountant (CPA)",,01/11/2019,01/11/2020,814,25,1521.0
1177,"Transportation, Shuttle Services",,01/11/2019,01/11/2020,1343,25,423.0
1178,"Legal & Accounting, Accounting Services",Member,01/11/2019,01/03/2021,1686,25,6.0
1179,"Construction, Renovations/Remodeling",Member,01/12/2019,01/12/2021,1866,25,
1180,"Coach, Business Coach",,01/12/2019,01/12/2020,2285,25,728.0
1181,"Advertising & Marketing, Social Media",Member,01/02/2020,01/02/2022,399,25,786.0
1182,"Trades, Plumber",,01/02/2020,01/02/2021,2602,25,1021.0
1183,"Financial, Investment Advisor",,01/02/2020,01/02/2021,1213,25,
1184,"Landscaping, Yard Maintenance",,01/02/2020,01/02/2021,1264,25,
1185,"Finance & Insurance, Financial Advisor/Financial Planner",Member,01/02/2020,01/04/2021,1145,25,6.0
1186,"Insurance, Accident & Sickness Insurance",,01/03/2020,01/03/2021,2784,25,956.0
1187,"Real Estate, Real Estate Sales Representative Residential",,01/04/2020,01/04/2021,435,25,6.0
1188,"Real Estate, Real Estate Sales Representative Residential",Member,01/05/2020,01/05/2021,961,25,2221.0
1189,"Construction, Glass",Member,01/05/2020,01/05/2021,1780,25,1458.0
1190,"Trades, Plumber",Member,01/07/2020,01/07/2021,211,25,6.0
1191,"Security, Security Services","Secretary / Treasurer, Member",01/09/2020,01/09/2021,840,25,1375.0
1192,"Security, Security Services","Secretary / Treasurer, Member",01/09/2020,01/02/2021,840,25,
1193,"Legal & Accounting, Bookkeeping",Member,01/12/2020,01/12/2021,2420,25,1418.0
1194,"Trades, Electrical Contractor",,01/12/2020,01/12/2020,6,25,2304.0
1195,"Trades, Electrical Contractor","Ambassador, Membership Committee, Member",01/12/2020,01/12/2021,6,25,2304.0
1196,"Medical, Optometrist",Member,01/12/2020,01/12/2021,471,25,1664.0
1197,"Event & Business Service, Event Planner",Member,01/02/2021,01/02/2022,2064,25,1021.0
1198,"Event & Business Service, Event Planner",Member,01/02/2021,01/02/2022,2064,25,1021.0
1199,"Real Estate, Real Estate Sales Representative Residential",,01/03/2012,01/04/2016,1687,30,
1200,"Financial, Financial Planner",,01/11/2010,01/05/2012,264,30,
1201,"Marketing, Promotional Products",,12/10/2010,31/03/2011,2395,30,
1202,"Real Estate, Real Estate Sales Representative Residential",,01/11/2010,01/04/2012,482,30,
1203,"Mortgage, Mortgage Broker",,01/11/2010,01/06/2012,1403,30,
1204,"Medical, Chiropractor",,01/11/2010,01/04/2012,900,30,
1205,"Telecommunications, Telecommunications Consultant",,01/11/2010,01/12/2011,233,30,
1206,"Accounting, Bookkeeper",,01/11/2010,01/12/2011,882,30,
1207,"Legal, Lawyer Real Estate",,01/11/2010,01/11/2011,1950,30,
1208,"Trades, Handyman",,01/11/2010,01/11/2011,1556,30,
1209,"Insurance, Property & Casualty Insurance",,01/11/2010,01/08/2011,1679,30,
1210,"Computer, Computer Repair",,01/11/2010,01/11/2011,2393,30,
1211,"Photography, Photographer",,01/11/2010,01/11/2011,111,30,
1212,"Coach, Life Coach",,01/11/2010,01/11/2011,1289,30,
1213,"Printing, Printer",,01/11/2010,01/11/2011,2160,30,
1214,"Real Estate, Home Inspector",,01/11/2010,01/11/2011,2469,30,
1215,"Health & Wellness, Health & Wellness Products",,01/11/2010,01/11/2011,916,30,
1216,"Legal, Lawyer Family Law",,01/11/2010,01/11/2011,591,30,
1217,"Unknown, BNIW_Null",,01/11/2010,01/11/2011,1022,30,
1218,"Computer, Computer Service",,01/11/2010,01/11/2011,713,30,
1219,"Travel, Travel Agent/Consultant",,01/11/2010,01/11/2011,2806,30,1679.0
1220,"Trades, Cabinets & Countertops",,01/11/2010,01/11/2011,1579,30,
1221,"Financial, Exempt Market Securities",,01/11/2010,01/11/2011,2289,30,
1222,"Health & Wellness, Health & Wellness Services",,01/12/2010,01/12/2011,2501,30,
1223,"Trades, Flooring and Carpets",,01/11/2010,01/02/2012,759,30,
1224,"Trades, Plumber",,01/11/2010,01/11/2011,858,30,
1225,"Accounting, Professional Accountant",,01/11/2010,01/11/2011,1599,30,
1226,"Business, Business Trainer",,01/11/2010,01/11/2011,500,30,1289.0
1227,"Consulting, Business Leadership & Management Training",,01/03/2015,01/06/2017,1763,30,489.0
1228,"Financial, Exempt Market Securities",,11/04/2011,01/01/2012,236,30,
1229,"Accounting, Personal Tax Accounting",,01/04/2011,01/04/2012,1093,30,264.0
1230,"Cleaning, Commercial Cleaning",,01/05/2011,01/07/2014,467,30,
1231,"Insurance, Property & Casualty Insurance",,01/05/2011,01/07/2012,2258,30,1679.0
1232,"Computer, Computer Service",,24/05/2011,01/04/2016,1434,30,254.0
1233,"Trades, Electrician",,13/09/2011,01/09/2011,753,30,
1234,"Insurance, Life,Health and Disability Insurance",,04/07/2011,01/08/2016,1169,30,
1235,"Insurance, Life,Health and Disability Insurance",,20/07/2011,01/07/2012,1169,30,
1236,"Insurance, Life,Health and Disability Insurance",,20/07/2011,01/07/2012,2946,30,
1237,"Finance & Insurance, Residential Mortgages","Membership Committee, Member",01/02/2012,01/04/2021,1008,30,
1238,"Insurance, Life Insurance",,01/09/2011,01/09/2012,544,30,
1239,"Entertainment, Entertainment Shows",,01/02/2012,01/12/2013,2498,30,
1240,"Printing, Printing Services",,20/02/2012,01/04/2013,162,30,1697.0
1241,"Coach, Business Coach",,01/11/2011,01/04/2014,1116,30,
1242,"Insurance, Employee Benefits-Group",,01/01/2012,01/04/2013,209,30,
1243,"Trades, Roofing",,01/01/2012,01/04/2014,1040,30,
1244,"Insurance, Life Insurance",,01/01/2012,01/01/2013,209,30,
1245,"Trades, General Contractor: Commercial",,01/02/2012,01/04/2013,618,30,
1246,"Financial, Exempt Market Securities",,01/02/2012,01/04/2013,885,30,
1247,"Medical, Chiropractor",,01/02/2012,01/05/2013,185,30,
1248,"Jewelry, Jeweler",,20/02/2012,01/04/2013,204,30,
1249,"Animals, Pet Services",,20/02/2012,01/04/2014,70,30,
1250,"Trades, Windows",,01/03/2012,01/04/2013,2776,30,
1251,"Financial, Investment Advisor",,26/02/2012,01/04/2017,2334,30,
1252,"Real Estate, Property Management",,26/02/2012,01/04/2013,2104,30,885.0
1253,"Unknown, BNIW_Null",,26/02/2012,01/04/2013,1083,30,
1254,"Consulting, Human Resources Consultant",,26/02/2012,01/04/2013,2491,30,1225.0
1255,"Accounting, Professional Accountant",,01/03/2012,01/04/2013,283,30,
1256,"Insurance, Property & Casualty Insurance",,01/03/2012,01/04/2013,1153,30,
1257,"Health & Wellness, Fitness Trainer",,01/05/2012,01/01/2014,1302,30,
1258,"Graphic Design, Graphic Designer",,01/05/2012,01/05/2014,2207,30,1008.0
1259,"Landscaping, Landscaping: Design & Construction",,01/05/2012,01/05/2013,2272,30,467.0
1260,"Trades, General Contractor Residential",,01/05/2012,01/05/2016,1281,30,1008.0
1261,"Information Technology, Web Optimization",,01/06/2012,01/06/2013,1612,30,885.0
1262,"Financial, Debt Consultant",,01/09/2012,01/10/2014,2637,30,2498.0
1263,"Unknown, BNIW_Null",,01/10/2012,01/10/2013,2256,30,1116.0
1264,"Flowers, Florist",,01/12/2012,01/12/2016,1985,30,
1265,"Accounting, Accountant",,01/03/2013,01/04/2015,2646,30,
1266,"Unknown, BNIW_Null",,01/04/2013,01/04/2015,2524,30,1751.0
1267,"Medical, Chiropractor",,01/05/2013,01/05/2020,1907,30,1169.0
1268,"Photography, Photographer",,01/06/2013,01/06/2014,2604,30,
1269,"Real Estate, Reserve Fund Studies",,01/06/2013,01/12/2016,1497,30,
1270,"Health & Wellness, Fitness Trainer",,01/09/2013,01/09/2014,2652,30,
1271,"Legal, Lawyer Family Law",,01/09/2013,01/09/2014,493,30,1907.0
1272,"Telecommunications, Telecommunications Services",,01/11/2013,01/11/2014,2157,30,1687.0
1273,"Information Technology, Web Design",,01/11/2013,01/11/2014,1255,30,32.0
1274,"Legal, Lawyer Business",,01/12/2013,01/12/2014,1336,30,2637.0
